numero_linha,linha,long,lat,estacao_origem,numero_estacao_origem,estacao_baldeacao_origem,estacao_conectada,numero_estacao_conectada,estacao_baldeacao_conectada
4,AMARELA,-46.723768,-23.586440,SAO PAULO MORUMBI,37,nao,BUTANTA,1,sim
4,AMARELA,-46.708157,-23.571857,BUTANTA,1,sim,PINHEIROS,2,sim
4,AMARELA,-46.70161,-23.567392,PINHEIROS,2,sim,FARIA LIMA,38,nao
4,AMARELA,-46.694102,-23.567269,FARIA LIMA,38,nao,FRADIQUE COUTINHO,39,nao
4,AMARELA,-46.684259,-23.566228,FRADIQUE COUTINHO,39,nao,OSCAR FREIRE,40,nao
4,AMARELA,-46.671921,-23.560521,OSCAR FREIRE,40,nao,PAULISTA,3,sim
4,AMARELA,-46.662161,-23.555044,PAULISTA,3,sim,HIGIENOPOLIS MACKENZIE,41,nao
4,AMARELA,-46.652165,-23.548935,HIGIENOPOLIS MACKENZIE,41,nao,REPUBLICA,4,sim
4,AMARELA,-46.642737,-23.544291,REPUBLICA,4,sim,LUZ,5,sim
4,AMARELA,-46.634499,-23.536259,LUZ,5,sim,LUZ,6,sim
1,AZUL,-46.641126,-23.646261,JABAQUARA,6,sim,CONCEICAO,42,nao
1,AZUL,-46.641254,-23.635338,CONCEICAO,42,nao,SAO JUDAS,43,nao
1,AZUL,-46.640741,-23.625510,SAO JUDAS,43,nao,SAUDE,44,nao
1,AZUL,-46.639122,-23.618374,SAUDE,44,nao,PRACA DA ARVORE,45,nao
1,AZUL,-46.637813,-23.610580,PRACA DA ARVORE,45,nao,SANTA CRUZ,7,sim
1,AZUL,-46.636578,-23.598940,SANTA CRUZ,7,sim,VILA MARIANA,46,nao
1,AZUL,-46.634596,-23.589257,VILA MARIANA,46,nao,ANA ROSA,8,sim
1,AZUL,-46.638385,-23.581184,ANA ROSA,8,sim,PARAISO,9,sim
1,AZUL,-46.640767,-23.575799,PARAISO,9,sim,VERGUEIRO,47,nao
1,AZUL,-46.639822,-23.569131,VERGUEIRO,47,nao,SAO JOAQUIM,48,nao
1,AZUL,-46.638685,-23.561838,SAO JOAQUIM,48,nao,JAPAO LIBERDADE,49,nao
1,AZUL,-46.635823,-23.555142,JAPAO LIBERDADE,49,nao,SE,10,sim
