	num_lin	nome_lin	long	lat	estacao_upp	link
0	4	AMARELA	-46,723768	-23,58644	SAO PAULO MORUMBI	BUTANTA
1	4	AMARELA	-46,708157	-23,571857	BUTANTA	PINHEIROS
2	4	AMARELA	-46,70161	-23,567392	PINHEIROS	FARIA LIMA
3	4	AMARELA	-46,694102	-23,567269	FARIA LIMA	FRADIQUE COUTINHO
4	4	AMARELA	-46,684259	-23,566228	FRADIQUE COUTINHO	OSCAR FREIRE
5	4	AMARELA	-46,671921	-23,560521	OSCAR FREIRE	PAULISTA
6	4	AMARELA	-46,662161	-23,555044	PAULISTA	HIGIENOPOLIS MACKENZIE
7	4	AMARELA	-46,652165	-23,548935	HIGIENOPOLIS MACKENZIE	REPUBLICA
8	4	AMARELA	-46,642737	-23,544291	REPUBLICA	LUZ
9	4	AMARELA	-46,634499	-23,536259	LUZ	LUZ
10	1	AZUL	-46,641126	-23,646261	JABAQUARA	CONCEICAO
11	1	AZUL	-46,641254	-23,635338	CONCEICAO	SAO JUDAS
12	1	AZUL	-46,640741	-23,62551	SAO JUDAS	SAUDE
13	1	AZUL	-46,639122	-23,618374	SAUDE	PRACA DA ARVORE
14	1	AZUL	-46,637813	-23,61058	PRACA DA ARVORE	SANTA CRUZ
15	1	AZUL	-46,636578	-23,59894	SANTA CRUZ	VILA MARIANA
16	1	AZUL	-46,634596	-23,589257	VILA MARIANA	ANA ROSA
17	1	AZUL	-46,638385	-23,581184	ANA ROSA	PARAISO
18	1	AZUL	-46,640767	-23,575799	PARAISO	VERGUEIRO
19	1	AZUL	-46,639822	-23,569131	VERGUEIRO	SAO JOAQUIM
20	1	AZUL	-46,638685	-23,561838	SAO JOAQUIM	JAPAO LIBERDADE
21	1	AZUL	-46,635823	-23,555142	JAPAO LIBERDADE	SE
22	1	AZUL	-46,632885	-23,550201	SE	SAO BENTO
23	1	AZUL	-46,633992	-23,544273	SAO BENTO	LUZ
24	1	AZUL	-46,633669	-23,536894	LUZ	TIRADENTES
25	1	AZUL	-46,632104	-23,530975	TIRADENTES	ARMENIA
26	1	AZUL	-46,62928	-23,525494	ARMENIA	PORTUGUESA TIETE
27	1	AZUL	-46,625132	-23,516258	PORTUGUESA TIETE	CARANDIRU
28	1	AZUL	-46,624956	-23,509538	CARANDIRU	SANTANA
29	1	AZUL	-46,624737	-23,502629	SANTANA	JARDIM SAO PAULO AYRTON SENNA
30	1	AZUL	-46,617052	-23,492458	JARDIM SAO PAULO AYRTON SENNA	PARADA INGLESA
31	1	AZUL	-46,608803	-23,487014	PARADA INGLESA	TUCURUVI
32	1	AZUL	-46,603212	-23,48014	TUCURUVI	TUCURUVI
33	11	CORAL	-46,635285	-23,535083	LUZ	BRAS
34	11	CORAL	-46,616498	-23,545184	BRAS	TATUAPE
35	11	CORAL	-46,576464	-23,54014	TATUAPE	CORINTHIANS ITAQUERA
36	11	CORAL	-46,471179	-23,542091	CORINTHIANS ITAQUERA	DOM BOSCO
